ID,Name,Subject,Date,ExamEndDate,Importance,Mastery,Type
b9e414fb-2a39-466f-ad0a-ce419f5639f2,Final Review,Mathematics,2026-07-24 23:02:56,,3,54,single
fc4528a2-c207-4741-a8d3-07563316f291,适应性考试,History,2026-08-11 23:02:56,2026-08-13 23:02:56,1,40,single
5690019e-cf51-458c-b2f7-16c7cec84247,Practice Test,Chemistry,2026-09-28 23:02:56,,4,88,single
e8d4d634-1c7b-43a6-84aa-b5f914cead70,Quiz 1,History,2026-12-02 23:02:56,2026-12-05 23:02:56,3,85,single
1b99cf99-62af-48e1-9954-127adf1d5863,月考,Chemistry,2026-12-16 23:02:56,,2,49,single
cff84911-a53e-4bd2-9d10-653c8fee7a92,Mock Exam 2,English,2026-10-02 23:02:56,2026-10-04 23:02:56,2,2,single
6433988c-420d-473d-84c7-9bd1e28665df,摸底考试,Chinese,2026-09-03 23:02:56,,1,72,single
1fea47cf-3c87-4a7a-a0eb-df84c47ab441,Quarterly Exam,Politics,2026-10-11 23:02:56,,3,25,single
b8ca689f-7727-43d7-b379-4318fa02fb65,Pre-Mock Exam,Mathematics,2026-08-22 23:02:56,,1,32,single
1ff08eac-f00d-4305-9a77-89d5634e6b0a,期中考试,Chemistry,2026-10-28 23:02:56,,2,17,single
14951f7b-3b8a-45d4-9500-53877d013ccf,Mock Exam 2,English,2026-08-05 23:02:56,2026-08-07 23:02:56,4,1,single
5a581129-0fd4-4a04-8e38-9ebda87f9ff1,Final Review,Physics,2026-10-21 23:02:56,,2,44,single
c156c688-7d76-4fa6-9e8b-cfc87fba7f7b,月考,Chinese,2026-09-02 23:02:56,,3,35,single
3ba08c9c-3315-46b0-8230-9f0b0cbd8121,单元测验,English,2026-11-16 23:02:56,,4,87,single
40694ebc-8b79-49aa-a83b-b967b8393c3e,期末复习,Physics,2026-08-20 23:02:56,,2,32,single
b24f1c90-3b67-440f-8896-698e66b55e73,适应性考试,Chemistry,2027-01-03 23:02:56,2027-01-05 23:02:56,2,12,single
26ea2364-b2d9-4533-9392-feef11040254,模拟考试,Chinese,2026-10-26 23:02:56,2026-10-27 23:02:56,2,75,single
640ec308-418b-4e28-ab98-d7047559efb1,Pre-Mock Exam,Mathematics,2026-10-19 23:02:56,,4,20,single
9fe4342a-beb4-47ab-8fd1-52979de57e34,Practice Test,Chinese,2026-11-25 23:02:56,,1,22,single
77157774-52ae-4046-813d-505bd66a275a,Mock Exam 2,Geography,2026-12-01 23:02:56,,5,69,single
31748936-953b-4bf2-a69a-ba94c3e221d6,Quarterly Exam,Mathematics,2026-09-26 23:02:56,,2,88,single
1018db44-596a-4620-bb21-07fa7483a4d9,Quiz 1,Physics,2026-10-22 23:02:56,,3,56,single
eb3b4c8d-caa0-41d3-ba97-6c8a86ec6c07,摸底考试,English,2026-08-05 23:02:56,,2,81,single
1c06383d-9cfe-41c4-a991-597e76decb13,Practice Test,Politics,2026-07-30 23:02:56,2026-07-31 23:02:56,3,82,single
7e299d89-9158-4b39-ade7-3f353b87eeba,Quiz 1,Geography,2026-11-17 23:02:56,,2,82,single
f83bea4f-2cba-407c-be9d-7baa8b305cc3,适应性考试,Music,2026-08-05 23:02:56,,3,95,single
852f6d45-f541-4387-8e4e-613a905cfda0,期中考试,Biology,2026-11-01 23:02:56,,3,15,single
795e00fc-3ed3-4b80-8e69-95cda7932e5c,Mock Exam 2,Physics,2026-08-02 23:02:56,,2,97,single
e271c180-214e-4f02-a061-ca3ee995763a,期末复习,Biology,2026-12-16 23:02:56,,3,26,single
3c796abe-1b40-408a-b542-18cfba0210fc,Final Revision Quiz,Mathematics,2026-08-03 23:02:56,,2,41,single
5c0aaa0d-99de-471b-aa04-36c8121b9917,Quiz 1,Chinese,2026-12-27 23:02:56,,3,21,single
e4d37c2f-c520-420e-b907-879337a36196,期末考试,Chemistry,2026-12-03 23:02:56,,5,19,single
8a7a0e63-74aa-4fda-b11c-b8a68bcc5db5,期末复习,Biology,2026-09-03 23:02:56,,3,74,single
328d290e-0c90-4481-8204-4040ff9620f5,Quarterly Exam,English,2026-09-27 23:02:56,2026-09-30 23:02:56,3,85,single
b0582f2a-5e61-4ca3-b82a-2f20a2112f99,期末考试,History,2026-12-20 23:02:56,,5,28,single
a3ab3a62-2a7f-407a-b01e-4f221b93fd5f,Final Revision Quiz,Mathematics,2026-08-01 23:02:56,,4,15,single
f05fc814-95d6-46cf-9c00-5125c4ad4d75,End-of-Year Exam,Music,2026-09-26 23:02:56,,5,0,single
5bd2f6bc-adcb-42f4-bfd7-d00b65cc44d8,诊断性考试,Geography,2026-10-27 23:02:56,,3,3,single
7466aaa7-a099-4ec9-acab-783b25a7886a,Mock Exam 2,Politics,2026-12-20 23:02:56,,3,44,single
6a66cd5c-2d82-4c37-96d5-e4067cb0551f,诊断性考试,Chemistry,2026-08-12 23:02:56,,2,89,single
041fb6c0-de4a-490b-8697-1b6b7c468bb8,单元测验,English,2026-09-20 23:02:56,,5,87,single
6073a55f-a94e-42db-9cc3-560cc565b059,暑假作业检查,Chemistry,2026-11-16 23:02:56,2026-11-19 23:02:56,1,73,single
18743557-2992-48fd-bc9a-618cd14f2fe8,诊断性考试,Chemistry,2026-07-24 23:02:56,,5,59,single
dc90e860-b0cd-42db-9f79-5b54d7c9d806,Quarterly Exam,English,2026-11-04 23:02:56,,2,45,single
488bc47f-18fe-43bc-93f0-418b1596b274,暑假作业检查,Music,2026-12-08 23:02:56,,2,35,single
514a7e20-cf0a-4bd5-9553-686270390a63,月考,Politics,2026-10-03 23:02:56,,4,40,single
46ba1014-1c7a-44b4-9df8-5c48e807ea0e,Practice Test,Mathematics,2026-11-17 23:02:56,,1,22,single
d0c79083-9dbb-45f6-8f51-5c21ec28a5f0,暑假作业检查,Music,2026-08-15 23:02:56,2026-08-18 23:02:56,2,86,single
8c706766-8fd5-42a8-a0fa-0971cdc8b572,适应性考试,History,2026-12-18 23:02:56,,1,27,single
f45f37ed-c719-4f8c-8efb-6a0892f4d36a,期末复习,History,2026-12-24 23:02:56,,3,50,single
d098bf61-05d2-4129-9834-3bcc8493928f,期末考试,English;Politics;Music,2027-03-08 23:02:56,2027-03-09 23:02:56,5,48,comprehensive
449733f7-b0ac-4bf6-8774-b75d76b1a63a,期中考试,Biology;Music;English;History,2027-02-10 23:02:56,2027-02-11 23:02:56,4,30,comprehensive
4c6046cf-bac8-4cbd-a6e8-6668d2a0dbca,期末考试,Music;Biology;English,2027-04-18 23:02:56,2027-04-20 23:02:56,5,66,comprehensive
67aa7c08-4d02-486c-943e-6753af634fc9,Mid-Year Exam,Chemistry;Physics;Music;Mathematics,2026-09-09 23:02:56,2026-09-10 23:02:56,3,69,comprehensive
44fb43cb-d887-4bac-adcc-08523ecc27c6,Mid-Year Exam,Chemistry;English;Music;Geography;Physics,2026-09-06 23:02:56,2026-09-07 23:02:56,5,50,comprehensive
c09f3b09-c4d2-4944-a44e-e368a06e9431,高三模考,Geography;Mathematics;Chemistry,2026-08-29 23:02:56,2026-08-30 23:02:56,3,37,comprehensive
466a9f1e-8963-462a-9927-e0ce2349fbe0,高三模考,Biology;Music;English,2026-10-23 23:02:56,2026-10-24 23:02:56,5,53,comprehensive
